"","FacID","FacLatitude","FacLongitude","zip","Exposure","Exposure_popwt","Exposure_popwt_tot_fac","Fac_rank_exp","Fac_rank_popwt","year"
"229","6113",38.3722,-87.7661,"40209",26348.5236174642,12462851.6710606,19139174225.5372,7,7,2005
"230","1363",38.1828,-85.8894,"40210",30002.5315774653,489281284.965304,18506684378.1223,7,7,2005
"231","1363",38.1828,-85.8894,"40211",30002.5315774653,726151271.769393,18506684378.1223,7,7,2005
"232","1378",37.2608,-86.9783,"40212",31245.9359973087,608108406.379622,20266293286.2437,7,7,2005
"233","6113",38.3722,-87.7661,"40213",26348.5236174642,457963688.995145,19139174225.5372,7,7,2005
"234","6113",38.3722,-87.7661,"40214",27568.5084460124,1231871231.40162,19139174225.5372,7,7,2005
"235","6113",38.3722,-87.7661,"40215",28960.9394739259,704532774.582196,19139174225.5372,7,7,2005
"236","6113",38.3722,-87.7661,"40216",31113.011507454,1239200135.33039,19139174225.5372,7,7,2005
"237","1363",38.1828,-85.8894,"40217",26181.8944204682,324943491.652431,18506684378.1223,7,7,2005
"238","6113",38.3722,-87.7661,"40218",23736.1077610024,713080149.356035,19139174225.5372,7,7,2005
"239","2850",38.6361,-83.6939,"40219",25041.5830782921,872849419.776949,19543764678.6266,7,7,2005
"240","6113",38.3722,-87.7661,"40220",20998.6614444224,683842408.59906,19139174225.5372,7,7,2005
"241","6113",38.3722,-87.7661,"40222",22104.4556798675,444454290.355095,19139174225.5372,7,7,2005
"242","6113",38.3722,-87.7661,"40223",22846.895340975,518281820.810018,19139174225.5372,7,7,2005
"243","1378",37.2608,-86.9783,"40228",22610.8818219965,326207192.045944,20266293286.2437,7,7,2005
"244","1378",37.2608,-86.9783,"40229",22231.2926997802,738723625.120995,20266293286.2437,7,7,2005
"245","1356",38.7497,-85.035,"40241",22897.2300769484,590634049.834884,12607184217.7243,7,7,2005
"246","1356",38.7497,-85.035,"40242",22897.2300769484,251319997.324586,12607184217.7243,7,7,2005
"247","1364",38.0531,-85.91,"40243",21795.8471198189,217261004.090354,22423021971.2932,7,7,2005
"248","1356",38.7497,-85.035,"40245",19305.66588641,499920218.128587,12607184217.7243,7,7,2005
"249","6705",37.915,-87.3328,"40258",26499.1123027978,660463875.034933,16002634611.6599,7,7,2005
"250","1378",37.2608,-86.9783,"40272",27797.2100748464,959921055.514671,20266293286.2437,7,7,2005
"251","6113",38.3722,-87.7661,"40291",21793.4971110911,695779188.768696,19139174225.5372,7,7,2005
"252","1364",38.0531,-85.91,"40299",20140.79740652,677113468.009795,22423021971.2932,7,7,2005
"253","1356",38.7497,-85.035,"40023",15886.4904889984,50439607.30257,12607184217.7243,8,8,2005
"254","6113",38.3722,-87.7661,"40025",24316.0441507576,4692996.52109622,19139174225.5372,8,8,2005
"255","1364",38.0531,-85.91,"40059",20634.6547483992,300213591.93446,22423021971.2932,8,8,2005
"256","1378",37.2608,-86.9783,"40118",22667.1919076988,208039487.328859,20266293286.2437,8,8,2005
"257","6705",37.915,-87.3328,"40177",25963.2145215891,46863602.2114682,16002634611.6599,8,8,2005
"258","2850",38.6361,-83.6939,"40202",27716.6047498508,133206002.427783,19543764678.6266,8,8,2005
"259","2850",38.6361,-83.6939,"40203",27716.6047498508,562536210.002972,19543764678.6266,8,8,2005
"260","2850",38.6361,-83.6939,"40204",24858.8770358243,374374688.159513,19543764678.6266,8,8,2005
"261","1363",38.1828,-85.8894,"40205",22361.2572634711,513526273.055613,18506684378.1223,8,8,2005
"262","2850",38.6361,-83.6939,"40206",27134.5319402183,523343717.530991,19543764678.6266,8,8,2005
"263","1363",38.1828,-85.8894,"40207",23365.6742452297,685829270.445982,18506684378.1223,8,8,2005
"264","6705",37.915,-87.3328,"40208",27278.6325244508,348266301.439663,16002634611.6599,8,8,2005
"265","2850",38.6361,-83.6939,"40209",24950.2300570582,11801458.8169885,19543764678.6266,8,8,2005
"266","6705",37.915,-87.3328,"40210",27278.6325244508,444859939.208743,16002634611.6599,8,8,2005
"267","6705",37.915,-87.3328,"40211",27278.6325244508,660224742.989282,16002634611.6599,8,8,2005
"268","2850",38.6361,-83.6939,"40212",27716.6047498508,539420561.641596,19543764678.6266,8,8,2005
"269","2850",38.6361,-83.6939,"40213",24950.2300570582,433659948.621728,19543764678.6266,8,8,2005
"270","2850",38.6361,-83.6939,"40214",25089.892072842,1121116737.38287,19543764678.6266,8,8,2005
"271","6705",37.915,-87.3328,"40215",26111.787339478,635221450.607482,16002634611.6599,8,8,2005
"272","6705",37.915,-87.3328,"40216",27846.4708194241,1109097086.26684,16002634611.6599,8,8,2005
"273","2850",38.6361,-83.6939,"40217",24858.8770358243,308523522.891615,19543764678.6266,8,8,2005
"274","1363",38.1828,-85.8894,"40218",23400.7312030157,703004766.800998,18506684378.1223,8,8,2005
"275","1378",37.2608,-86.9783,"40219",24635.1357234224,858682290.77561,20266293286.2437,8,8,2005
"276","1363",38.1828,-85.8894,"40220",19328.7762501307,629460927.361757,18506684378.1223,8,8,2005
"277","1363",38.1828,-85.8894,"40222",21009.2145757499,422432277.474603,18506684378.1223,8,8,2005
"278","1356",38.7497,-85.035,"40223",19868.3842063076,450714295.720087,12607184217.7243,8,8,2005
"279","1363",38.1828,-85.8894,"40228",22018.4036012128,317659508.754697,18506684378.1223,8,8,2005
"280","1363",38.1828,-85.8894,"40229",21946.7921235747,729269955.474263,18506684378.1223,8,8,2005
